,field count,non empty count,data types
formVideos.workoutVideos.5.mediaSources.1.audioTracks.0.language,2,2,str
formVideos.workoutVideos.5.mediaSources.1.audioTracks.0.name,2,2,str
formVideos.workoutVideos.5.mediaSources.1.audioTracks.0.primary,2,2,bool
formVideos.workoutVideos.5.mediaSources.1.mimeType,2,2,str
formVideos.workoutVideos.5.mediaSources.1.providerName,2,2,str
formVideos.workoutVideos.5.mediaSources.1.textTracks.0.language,2,2,str
formVideos.workoutVideos.5.mediaSources.1.textTracks.0.name,2,2,str
formVideos.workoutVideos.5.mediaSources.1.textTracks.0.type,2,2,str
formVideos.workoutVideos.5.mediaSources.1.uri,2,2,str
formVideos.workoutVideos.5.name,2,2,str
formVideos.workoutVideos.5.posterUri,2,0,NoneType
formVideos.workoutVideos.5.publish,2,2,bool
formVideos.workoutVideos.5.recommendationType,2,0,NoneType
formVideos.workoutVideos.5.targetDistance,2,0,NoneType
formVideos.workoutVideos.5.thumbnailUri,2,0,NoneType
formVideos.workoutVideos.5.type,2,2,str
formVideos.workoutVideos.5.videoDisplayTime,2,2,str
genreStations.00s Hip-Hop.0.explicitLyrics,5833,0,bool
genreStations.00s Hip-Hop.0.stationId,5833,5833,str
genreStations.00s Hip-Hop.0.stationName,5833,5833,str
genreStations.00s Hip-Hop.1.explicitLyrics,5833,0,bool
genreStations.00s Hip-Hop.1.stationId,5833,5833,str
genreStations.00s Hip-Hop.1.stationName,5833,5833,str
genreStations.00s.0.explicitLyrics,5833,0,bool
genreStations.00s.0.stationId,5833,5833,str
genreStations.00s.0.stationName,5833,5833,str
genreStations.00s.1.explicitLyrics,5833,0,bool
genreStations.00s.1.stationId,5833,5833,str
genreStations.00s.1.stationName,5833,5833,str
genreStations.80s.0.explicitLyrics,5833,0,bool
genreStations.80s.0.stationId,5833,5833,str
genreStations.80s.0.stationName,5833,5833,str
genreStations.80s.1.explicitLyrics,5833,0,bool
genreStations.80s.1.stationId,5833,5833,str
genreStations.80s.1.stationName,5833,5833,str
genreStations.90s Hip-Hop.0.explicitLyrics,5833,0,bool
genreStations.90s Hip-Hop.0.stationId,5833,5833,str
genreStations.90s Hip-Hop.0.stationName,5833,5833,str
genreStations.90s Hip-Hop.1.explicitLyrics,5833,0,bool
genreStations.90s Hip-Hop.1.stationId,5833,5833,str
genreStations.90s Hip-Hop.1.stationName,5833,5833,str
genreStations.90s.0.explicitLyrics,5833,0,bool
genreStations.90s.0.stationId,5833,5833,str
genreStations.90s.0.stationName,5833,5833,str
genreStations.90s.1.explicitLyrics,5833,0,bool
genreStations.90s.1.stationId,5833,5833,str
genreStations.90s.1.stationName,5833,5833,str
genreStations.Alternative/Indie.0.explicitLyrics,5833,0,bool
genreStations.Alternative/Indie.0.stationId,5833,5833,str
genreStations.Alternative/Indie.0.stationName,5833,5833,str
genreStations.Alternative/Indie.1.explicitLyrics,5833,0,bool
genreStations.Alternative/Indie.1.stationId,5833,5833,str
genreStations.Alternative/Indie.1.stationName,5833,5833,str
genreStations.Blues/Jazz.0.explicitLyrics,5833,0,bool
genreStations.Blues/Jazz.0.stationId,5833,5833,str
genreStations.Blues/Jazz.0.stationName,5833,5833,str
genreStations.Blues/Jazz.1.explicitLyrics,5833,0,bool
genreStations.Blues/Jazz.1.stationId,5833,5833,str
genreStations.Blues/Jazz.1.stationName,5833,5833,str
genreStations.Chill.0.explicitLyrics,5833,0,bool
genreStations.Chill.0.stationId,5833,5833,str
genreStations.Chill.0.stationName,5833,5833,str
genreStations.Chill.1.explicitLyrics,5833,0,bool
genreStations.Chill.1.stationId,5833,5833,str
genreStations.Chill.1.stationName,5833,5833,str
genreStations.Classic Rock.0.explicitLyrics,5833,0,bool
genreStations.Classic Rock.0.stationId,5833,5833,str
genreStations.Classic Rock.0.stationName,5833,5833,str
genreStations.Classic Rock.1.explicitLyrics,5833,0,bool
genreStations.Classic Rock.1.stationId,5833,5833,str
genreStations.Classic Rock.1.stationName,5833,5833,str
genreStations.Classical.0.explicitLyrics,5833,0,bool
genreStations.Classical.0.stationId,5833,5833,str
genreStations.Classical.0.stationName,5833,5833,str
genreStations.Classical.1.explicitLyrics,5833,0,bool
genreStations.Classical.1.stationId,5833,5833,str
genreStations.Classical.1.stationName,5833,5833,str
genreStations.Country.0.explicitLyrics,5833,0,bool
genreStations.Country.0.stationId,5833,5833,str
genreStations.Country.0.stationName,5833,5833,str
genreStations.Country.1.explicitLyrics,5833,0,bool
genreStations.Country.1.stationId,5833,5833,str
genreStations.Country.1.stationName,5833,5833,str
genreStations.Dance.0.explicitLyrics,5833,0,bool
genreStations.Dance.0.stationId,5833,5833,str
genreStations.Dance.0.stationName,5833,5833,str
genreStations.Dance.1.explicitLyrics,5833,0,bool
genreStations.Dance.1.stationId,5833,5833,str
genreStations.Dance.1.stationName,5833,5833,str
genreStations.Hip-Hop/R&B.0.explicitLyrics,5833,5833,bool
genreStations.Hip-Hop/R&B.0.stationId,5833,5833,str
genreStations.Hip-Hop/R&B.0.stationName,5833,5833,str
genreStations.Hip-Hop/R&B.1.explicitLyrics,5833,0,bool
genreStations.Hip-Hop/R&B.1.stationId,5833,5833,str
genreStations.Hip-Hop/R&B.1.stationName,5833,5833,str
genreStations.Latin.0.explicitLyrics,5833,5833,bool
genreStations.Latin.0.stationId,5833,5833,str
genreStations.Latin.0.stationName,5833,5833,str
genreStations.Latin.1.explicitLyrics,5833,0,bool
genreStations.Latin.1.stationId,5833,5833,str
genreStations.Latin.1.stationName,5833,5833,str
genreStations.Pop Punk.0.explicitLyrics,5833,0,bool
genreStations.Pop Punk.0.stationId,5833,5833,str
genreStations.Pop Punk.0.stationName,5833,5833,str
genreStations.Pop Punk.1.explicitLyrics,5833,0,bool
genreStations.Pop Punk.1.stationId,5833,5833,str
genreStations.Pop Punk.1.stationName,5833,5833,str
genreStations.Pop.0.explicitLyrics,5833,0,bool
genreStations.Pop.0.stationId,5833,5833,str
genreStations.Pop.0.stationName,5833,5833,str
genreStations.Pop.1.explicitLyrics,5833,0,bool
genreStations.Pop.1.stationId,5833,5833,str
genreStations.Pop.1.stationName,5833,5833,str
genreStations.Rock.0.explicitLyrics,5833,0,bool
genreStations.Rock.0.stationId,5833,5833,str
genreStations.Rock.0.stationName,5833,5833,str
genreStations.Rock.1.explicitLyrics,5833,0,bool
genreStations.Rock.1.stationId,5833,5833,str
genreStations.Rock.1.stationName,5833,5833,str
genreStations.Soul/Funk/Disco.0.explicitLyrics,5833,0,bool
genreStations.Soul/Funk/Disco.0.stationId,5833,5833,str
genreStations.Soul/Funk/Disco.0.stationName,5833,5833,str
genreStations.Soul/Funk/Disco.1.explicitLyrics,5833,0,bool
genreStations.Soul/Funk/Disco.1.stationId,5833,5833,str
genreStations.Soul/Funk/Disco.1.stationName,5833,5833,str
genreStations.Stadium Hits.0.explicitLyrics,5833,0,bool
genreStations.Stadium Hits.0.stationId,5833,5833,str
genreStations.Stadium Hits.0.stationName,5833,5833,str
genreStations.Stadium Hits.1.explicitLyrics,5833,0,bool
genreStations.Stadium Hits.1.stationId,5833,5833,str
genreStations.Stadium Hits.1.stationName,5833,5833,str
genreStations.World.0.explicitLyrics,5833,0,bool
genreStations.World.0.stationId,5833,5833,str
genreStations.World.0.stationName,5833,5833,str
genreStations.World.1.explicitLyrics,5833,0,bool
genreStations.World.1.stationId,5833,5833,str
genreStations.World.1.stationName,5833,5833,str
hasIntraWorkoutStats,5833,3849,bool
hasLeaderboard,5833,3839,bool
hasRowingStats,5833,4854,bool
hideStats,4,4,bool
id,5833,5833,int
image.bucket,5833,5833,str
image.imageServerBaseUrl,5833,5833,str
image.key,5833,5833,str
instructors.seat1,5493,0,NoneType
instructors.seat1.cardImage,340,0,NoneType
instructors.seat1.cardUri,340,340,str
instructors.seat1.familiarName,340,340,str
instructors.seat1.id,340,340,int
instructors.seat1.instructorName,340,340,str
instructors.seat1.name,340,340,str
instructors.seat1.thumbnailImage,2,0,NoneType
instructors.seat1.thumbnailImage.bucket,338,338,str
instructors.seat1.thumbnailImage.imageServerBaseUrl,338,338,str
instructors.seat1.thumbnailImage.key,338,338,str
instructors.seat1.thumbnailUri,340,340,str
instructors.seat1Id,5833,340,"NoneType, int"
instructors.seat2,5798,0,NoneType
instructors.seat2.cardImage,35,0,NoneType
instructors.seat2.cardUri,35,35,str
instructors.seat2.familiarName,35,35,str
instructors.seat2.id,35,35,int
instructors.seat2.instructorName,35,35,str
instructors.seat2.name,35,35,str
instructors.seat2.thumbnailImage,3,0,NoneType
instructors.seat2.thumbnailImage.bucket,32,32,str
instructors.seat2.thumbnailImage.imageServerBaseUrl,32,32,str
instructors.seat2.thumbnailImage.key,32,32,str
instructors.seat2.thumbnailUri,35,35,str
instructors.seat2Id,5833,35,"NoneType, int"
instructors.seat3,5104,0,NoneType
instructors.seat3.cardImage,729,0,NoneType
instructors.seat3.cardUri,729,729,str
instructors.seat3.familiarName,729,729,str
instructors.seat3.id,729,729,int
instructors.seat3.instructorName,729,729,str
instructors.seat3.name,729,729,str
instructors.seat3.thumbnailImage,45,0,NoneType
instructors.seat3.thumbnailImage.bucket,684,684,str
instructors.seat3.thumbnailImage.imageServerBaseUrl,684,684,str
instructors.seat3.thumbnailImage.key,684,684,str
instructors.seat3.thumbnailUri,729,729,str
instructors.seat3Id,5833,729,"NoneType, int"
instructors.stroke.cardImage,5833,0,NoneType
instructors.stroke.cardUri,5833,5274,"NoneType, str"
instructors.stroke.familiarName,5833,5833,str
instructors.stroke.id,5833,5833,int
instructors.stroke.instructorName,5833,5833,str
instructors.stroke.name,5833,5833,str
instructors.stroke.thumbnailImage,158,0,NoneType
instructors.stroke.thumbnailImage.bucket,5675,5675,str
instructors.stroke.thumbnailImage.imageServerBaseUrl,5675,5675,str
instructors.stroke.thumbnailImage.key,5675,5675,str
instructors.stroke.thumbnailUri,5833,5828,"NoneType, str"
instructors.strokeId,5833,5833,int
intensityIconUrl,5833,3081,"NoneType, str"
intensityLevel,5833,3081,"NoneType, int"
intensityText,5833,3081,"NoneType, str"
intervals.0.description,215,215,str
intervals.0.duration,215,215,int
intervals.0.exercises.0.id,212,212,str
intervals.0.exercises.0.key,212,212,str
intervals.0.exercises.0.name,212,212,str
intervals.0.exercises.0.tagGroupId,212,212,str
intervals.0.exercises.0.tagGroupKey,212,212,str
intervals.0.exercises.0.tagGroupName,212,212,str
intervals.0.exercises.1.id,7,7,str
intervals.0.exercises.1.key,7,7,str
intervals.0.exercises.1.name,7,7,str
intervals.0.exercises.1.tagGroupId,7,7,str
intervals.0.exercises.1.tagGroupKey,7,7,str
intervals.0.exercises.1.tagGroupName,7,7,str
intervals.0.exercises.2.id,6,6,str
intervals.0.exercises.2.key,6,6,str
intervals.0.exercises.2.name,6,6,str
intervals.0.exercises.2.tagGroupId,6,6,str
intervals.0.exercises.2.tagGroupKey,6,6,str
intervals.0.exercises.2.tagGroupName,6,6,str
intervals.0.exercises.3.id,3,3,str
intervals.0.exercises.3.key,3,3,str
intervals.0.exercises.3.name,3,3,str
intervals.0.exercises.3.tagGroupId,3,3,str
intervals.0.exercises.3.tagGroupKey,3,3,str
intervals.0.exercises.3.tagGroupName,3,3,str
intervals.0.exercises.4.id,2,2,str
intervals.0.exercises.4.key,2,2,str
intervals.0.exercises.4.name,2,2,str
intervals.0.exercises.4.tagGroupId,2,2,str
intervals.0.exercises.4.tagGroupKey,2,2,str
intervals.0.exercises.4.tagGroupName,2,2,str
intervals.0.exercises.5.id,2,2,str
intervals.0.exercises.5.key,2,2,str
intervals.0.exercises.5.name,2,2,str
intervals.0.exercises.5.tagGroupId,2,2,str
intervals.0.exercises.5.tagGroupKey,2,2,str
intervals.0.exercises.5.tagGroupName,2,2,str
intervals.0.exercises.6.id,1,1,str
intervals.0.exercises.6.key,1,1,str
intervals.0.exercises.6.name,1,1,str
intervals.0.exercises.6.tagGroupId,1,1,str
intervals.0.exercises.6.tagGroupKey,1,1,str
intervals.0.exercises.6.tagGroupName,1,1,str
intervals.0.id,215,215,str
intervals.0.mets,212,212,str
intervals.0.type,215,215,str
intervals.1.description,215,215,str
intervals.1.duration,215,215,int
intervals.1.exercises.0.id,141,141,str
intervals.1.exercises.0.key,141,141,str
intervals.1.exercises.0.name,141,141,str
intervals.1.exercises.0.tagGroupId,141,141,str
intervals.1.exercises.0.tagGroupKey,141,141,str
intervals.1.exercises.0.tagGroupName,141,141,str
intervals.1.exercises.1.id,128,128,str
intervals.1.exercises.1.key,128,128,str
intervals.1.exercises.1.name,128,128,str
intervals.1.exercises.1.tagGroupId,128,128,str
intervals.1.exercises.1.tagGroupKey,128,128,str
intervals.1.exercises.1.tagGroupName,128,128,str
intervals.1.exercises.2.id,101,101,str
intervals.1.exercises.2.key,101,101,str
intervals.1.exercises.2.name,101,101,str
intervals.1.exercises.2.tagGroupId,101,101,str
intervals.1.exercises.2.tagGroupKey,101,101,str
intervals.1.exercises.2.tagGroupName,101,101,str
intervals.1.exercises.3.id,34,34,str
intervals.1.exercises.3.key,34,34,str
intervals.1.exercises.3.name,34,34,str
intervals.1.exercises.3.tagGroupId,34,34,str
intervals.1.exercises.3.tagGroupKey,34,34,str
intervals.1.exercises.3.tagGroupName,34,34,str
intervals.1.exercises.4.id,10,10,str
intervals.1.exercises.4.key,10,10,str
intervals.1.exercises.4.name,10,10,str
intervals.1.exercises.4.tagGroupId,10,10,str
intervals.1.exercises.4.tagGroupKey,10,10,str
intervals.1.exercises.4.tagGroupName,10,10,str
intervals.1.id,215,215,str
intervals.1.mets,141,141,str
intervals.1.type,215,215,str
intervals.10.description,20,20,str
intervals.10.duration,20,20,int
intervals.10.exercises.0.id,13,13,str
intervals.10.exercises.0.key,13,13,str
intervals.10.exercises.0.name,13,13,str
intervals.10.exercises.0.tagGroupId,13,13,str
intervals.10.exercises.0.tagGroupKey,13,13,str
intervals.10.exercises.0.tagGroupName,13,13,str
intervals.10.exercises.1.id,1,1,str
intervals.10.exercises.1.key,1,1,str
intervals.10.exercises.1.name,1,1,str
intervals.10.exercises.1.tagGroupId,1,1,str
intervals.10.exercises.1.tagGroupKey,1,1,str
intervals.10.exercises.1.tagGroupName,1,1,str
intervals.10.id,20,20,str
intervals.10.mets,13,13,str
intervals.10.type,20,20,str
intervals.11.description,12,12,str
intervals.11.duration,12,12,int
intervals.11.exercises.0.id,7,7,str
intervals.11.exercises.0.key,7,7,str
intervals.11.exercises.0.name,7,7,str
intervals.11.exercises.0.tagGroupId,7,7,str
intervals.11.exercises.0.tagGroupKey,7,7,str
intervals.11.exercises.0.tagGroupName,7,7,str
intervals.11.id,12,12,str
intervals.11.mets,7,7,str
intervals.11.type,12,12,str
intervals.12.description,12,12,str
intervals.12.duration,12,12,int
intervals.12.exercises.0.id,5,5,str
intervals.12.exercises.0.key,5,5,str
intervals.12.exercises.0.name,5,5,str
intervals.12.exercises.0.tagGroupId,5,5,str
intervals.12.exercises.0.tagGroupKey,5,5,str
intervals.12.exercises.0.tagGroupName,5,5,str
intervals.12.exercises.1.id,1,1,str
intervals.12.exercises.1.key,1,1,str
intervals.12.exercises.1.name,1,1,str
intervals.12.exercises.1.tagGroupId,1,1,str
intervals.12.exercises.1.tagGroupKey,1,1,str
intervals.12.exercises.1.tagGroupName,1,1,str
intervals.12.id,12,12,str
intervals.12.mets,5,5,str
intervals.12.type,12,12,str
intervals.13.description,12,12,str
intervals.13.duration,12,12,int
intervals.13.exercises.0.id,7,7,str
intervals.13.exercises.0.key,7,7,str
intervals.13.exercises.0.name,7,7,str
intervals.13.exercises.0.tagGroupId,7,7,str
intervals.13.exercises.0.tagGroupKey,7,7,str
intervals.13.exercises.0.tagGroupName,7,7,str
intervals.13.id,12,12,str
intervals.13.mets,7,7,str
intervals.13.type,12,12,str
intervals.14.description,12,12,str
intervals.14.duration,12,12,int
intervals.14.exercises.0.id,5,5,str
intervals.14.exercises.0.key,5,5,str
intervals.14.exercises.0.name,5,5,str
intervals.14.exercises.0.tagGroupId,5,5,str
intervals.14.exercises.0.tagGroupKey,5,5,str
intervals.14.exercises.0.tagGroupName,5,5,str
intervals.14.id,12,12,str
intervals.14.mets,5,5,str
intervals.14.type,12,12,str
intervals.15.description,11,11,str
intervals.15.duration,11,11,int
intervals.15.exercises.0.id,7,7,str
intervals.15.exercises.0.key,7,7,str
intervals.15.exercises.0.name,7,7,str
intervals.15.exercises.0.tagGroupId,7,7,str
intervals.15.exercises.0.tagGroupKey,7,7,str
intervals.15.exercises.0.tagGroupName,7,7,str
intervals.15.id,11,11,str
intervals.15.mets,7,7,str
intervals.15.type,11,11,str
intervals.16.description,10,10,str
intervals.16.duration,10,10,int
intervals.16.exercises.0.id,9,9,str
intervals.16.exercises.0.key,9,9,str
intervals.16.exercises.0.name,9,9,str
intervals.16.exercises.0.tagGroupId,9,9,str
intervals.16.exercises.0.tagGroupKey,9,9,str
intervals.16.exercises.0.tagGroupName,9,9,str
intervals.16.id,10,10,str
intervals.16.mets,9,9,str
intervals.16.type,10,10,str
intervals.17.description,4,4,str
intervals.17.duration,4,4,int
intervals.17.exercises.0.id,1,1,str
intervals.17.exercises.0.key,1,1,str
intervals.17.exercises.0.name,1,1,str
intervals.17.exercises.0.tagGroupId,1,1,str
intervals.17.exercises.0.tagGroupKey,1,1,str
intervals.17.exercises.0.tagGroupName,1,1,str
intervals.17.id,4,4,str
intervals.17.mets,1,1,str
intervals.17.type,4,4,str
intervals.18.description,1,1,str
intervals.18.duration,1,1,int
intervals.18.exercises.0.id,1,1,str
intervals.18.exercises.0.key,1,1,str
intervals.18.exercises.0.name,1,1,str
intervals.18.exercises.0.tagGroupId,1,1,str
intervals.18.exercises.0.tagGroupKey,1,1,str
intervals.18.exercises.0.tagGroupName,1,1,str
intervals.18.id,1,1,str
intervals.18.mets,1,1,str
intervals.18.type,1,1,str
intervals.2.description,214,214,str
intervals.2.duration,214,214,int
intervals.2.exercises.0.id,74,74,str
intervals.2.exercises.0.key,74,74,str
intervals.2.exercises.0.name,74,74,str
intervals.2.exercises.0.tagGroupId,74,74,str
intervals.2.exercises.0.tagGroupKey,74,74,str
intervals.2.exercises.0.tagGroupName,74,74,str
intervals.2.exercises.1.id,68,68,str
intervals.2.exercises.1.key,68,68,str
intervals.2.exercises.1.name,68,68,str
intervals.2.exercises.1.tagGroupId,68,68,str
intervals.2.exercises.1.tagGroupKey,68,68,str
intervals.2.exercises.1.tagGroupName,68,68,str
intervals.2.exercises.2.id,54,54,str
intervals.2.exercises.2.key,54,54,str
intervals.2.exercises.2.name,54,54,str
intervals.2.exercises.2.tagGroupId,54,54,str
intervals.2.exercises.2.tagGroupKey,54,54,str
intervals.2.exercises.2.tagGroupName,54,54,str
intervals.2.exercises.3.id,27,27,str
intervals.2.exercises.3.key,27,27,str
intervals.2.exercises.3.name,27,27,str
intervals.2.exercises.3.tagGroupId,27,27,str
intervals.2.exercises.3.tagGroupKey,27,27,str
intervals.2.exercises.3.tagGroupName,27,27,str
intervals.2.exercises.4.id,9,9,str
intervals.2.exercises.4.key,9,9,str
intervals.2.exercises.4.name,9,9,str
intervals.2.exercises.4.tagGroupId,9,9,str
intervals.2.exercises.4.tagGroupKey,9,9,str
intervals.2.exercises.4.tagGroupName,9,9,str
intervals.2.exercises.5.id,1,1,str
intervals.2.exercises.5.key,1,1,str
intervals.2.exercises.5.name,1,1,str
intervals.2.exercises.5.tagGroupId,1,1,str
intervals.2.exercises.5.tagGroupKey,1,1,str
intervals.2.exercises.5.tagGroupName,1,1,str
intervals.2.id,214,214,str
intervals.2.mets,74,74,str
intervals.2.type,214,214,str
intervals.3.description,202,202,str
intervals.3.duration,202,202,int
intervals.3.exercises.0.id,130,130,str
intervals.3.exercises.0.key,130,130,str
intervals.3.exercises.0.name,130,130,str
intervals.3.exercises.0.tagGroupId,130,130,str
intervals.3.exercises.0.tagGroupKey,130,130,str
intervals.3.exercises.0.tagGroupName,130,130,str
intervals.3.exercises.1.id,101,101,str
intervals.3.exercises.1.key,101,101,str
intervals.3.exercises.1.name,101,101,str
intervals.3.exercises.1.tagGroupId,101,101,str
intervals.3.exercises.1.tagGroupKey,101,101,str
intervals.3.exercises.1.tagGroupName,101,101,str
intervals.3.exercises.2.id,81,81,str
intervals.3.exercises.2.key,81,81,str
intervals.3.exercises.2.name,81,81,str
intervals.3.exercises.2.tagGroupId,81,81,str
intervals.3.exercises.2.tagGroupKey,81,81,str
intervals.3.exercises.2.tagGroupName,81,81,str
intervals.3.exercises.3.id,22,22,str
intervals.3.exercises.3.key,22,22,str
intervals.3.exercises.3.name,22,22,str
intervals.3.exercises.3.tagGroupId,22,22,str
intervals.3.exercises.3.tagGroupKey,22,22,str
intervals.3.exercises.3.tagGroupName,22,22,str
intervals.3.exercises.4.id,8,8,str
intervals.3.exercises.4.key,8,8,str
intervals.3.exercises.4.name,8,8,str
intervals.3.exercises.4.tagGroupId,8,8,str
intervals.3.exercises.4.tagGroupKey,8,8,str
intervals.3.exercises.4.tagGroupName,8,8,str
intervals.3.exercises.5.id,1,1,str
intervals.3.exercises.5.key,1,1,str
intervals.3.exercises.5.name,1,1,str
intervals.3.exercises.5.tagGroupId,1,1,str
intervals.3.exercises.5.tagGroupKey,1,1,str
intervals.3.exercises.5.tagGroupName,1,1,str
intervals.3.id,202,202,str
intervals.3.mets,130,130,str
intervals.3.type,202,202,str
intervals.4.description,182,182,str
intervals.4.duration,182,182,int
intervals.4.exercises.0.id,96,96,str
intervals.4.exercises.0.key,96,96,str
intervals.4.exercises.0.name,96,96,str
intervals.4.exercises.0.tagGroupId,96,96,str
intervals.4.exercises.0.tagGroupKey,96,96,str
intervals.4.exercises.0.tagGroupName,96,96,str
intervals.4.exercises.1.id,60,60,str
intervals.4.exercises.1.key,60,60,str
intervals.4.exercises.1.name,60,60,str
intervals.4.exercises.1.tagGroupId,60,60,str
intervals.4.exercises.1.tagGroupKey,60,60,str
intervals.4.exercises.1.tagGroupName,60,60,str
intervals.4.exercises.2.id,49,49,str
intervals.4.exercises.2.key,49,49,str
intervals.4.exercises.2.name,49,49,str
intervals.4.exercises.2.tagGroupId,49,49,str
intervals.4.exercises.2.tagGroupKey,49,49,str
intervals.4.exercises.2.tagGroupName,49,49,str
intervals.4.exercises.3.id,24,24,str
intervals.4.exercises.3.key,24,24,str
intervals.4.exercises.3.name,24,24,str
intervals.4.exercises.3.tagGroupId,24,24,str
intervals.4.exercises.3.tagGroupKey,24,24,str
intervals.4.exercises.3.tagGroupName,24,24,str
intervals.4.exercises.4.id,6,6,str
intervals.4.exercises.4.key,6,6,str
intervals.4.exercises.4.name,6,6,str
intervals.4.exercises.4.tagGroupId,6,6,str
intervals.4.exercises.4.tagGroupKey,6,6,str
intervals.4.exercises.4.tagGroupName,6,6,str
intervals.4.exercises.5.id,1,1,str
intervals.4.exercises.5.key,1,1,str
intervals.4.exercises.5.name,1,1,str
intervals.4.exercises.5.tagGroupId,1,1,str
intervals.4.exercises.5.tagGroupKey,1,1,str
intervals.4.exercises.5.tagGroupName,1,1,str
intervals.4.id,182,182,str
intervals.4.mets,96,96,str
intervals.4.type,182,182,str
intervals.5.description,145,145,str
intervals.5.duration,145,145,int
intervals.5.exercises.0.id,107,107,str
intervals.5.exercises.0.key,107,107,str
intervals.5.exercises.0.name,107,107,str
intervals.5.exercises.0.tagGroupId,107,107,str
intervals.5.exercises.0.tagGroupKey,107,107,str
intervals.5.exercises.0.tagGroupName,107,107,str
intervals.5.exercises.1.id,57,57,str
intervals.5.exercises.1.key,57,57,str
intervals.5.exercises.1.name,57,57,str
intervals.5.exercises.1.tagGroupId,57,57,str
intervals.5.exercises.1.tagGroupKey,57,57,str
intervals.5.exercises.1.tagGroupName,57,57,str
intervals.5.exercises.2.id,43,43,str
intervals.5.exercises.2.key,43,43,str
intervals.5.exercises.2.name,43,43,str
intervals.5.exercises.2.tagGroupId,43,43,str
intervals.5.exercises.2.tagGroupKey,43,43,str
intervals.5.exercises.2.tagGroupName,43,43,str
intervals.5.exercises.3.id,5,5,str
intervals.5.exercises.3.key,5,5,str
intervals.5.exercises.3.name,5,5,str
intervals.5.exercises.3.tagGroupId,5,5,str
intervals.5.exercises.3.tagGroupKey,5,5,str
intervals.5.exercises.3.tagGroupName,5,5,str
intervals.5.exercises.4.id,2,2,str
intervals.5.exercises.4.key,2,2,str
intervals.5.exercises.4.name,2,2,str
intervals.5.exercises.4.tagGroupId,2,2,str
intervals.5.exercises.4.tagGroupKey,2,2,str
intervals.5.exercises.4.tagGroupName,2,2,str
intervals.5.id,145,145,str
intervals.5.mets,107,107,str
intervals.5.type,145,145,str
intervals.6.description,101,101,str
intervals.6.duration,101,101,int
intervals.6.exercises.0.id,55,55,str
intervals.6.exercises.0.key,55,55,str
intervals.6.exercises.0.name,55,55,str
intervals.6.exercises.0.tagGroupId,55,55,str
intervals.6.exercises.0.tagGroupKey,55,55,str
intervals.6.exercises.0.tagGroupName,55,55,str
intervals.6.exercises.1.id,29,29,str
intervals.6.exercises.1.key,29,29,str
intervals.6.exercises.1.name,29,29,str
intervals.6.exercises.1.tagGroupId,29,29,str
intervals.6.exercises.1.tagGroupKey,29,29,str
intervals.6.exercises.1.tagGroupName,29,29,str
intervals.6.exercises.2.id,18,18,str
intervals.6.exercises.2.key,18,18,str
intervals.6.exercises.2.name,18,18,str
intervals.6.exercises.2.tagGroupId,18,18,str
intervals.6.exercises.2.tagGroupKey,18,18,str
intervals.6.exercises.2.tagGroupName,18,18,str
intervals.6.exercises.3.id,8,8,str
intervals.6.exercises.3.key,8,8,str
intervals.6.exercises.3.name,8,8,str
intervals.6.exercises.3.tagGroupId,8,8,str
intervals.6.exercises.3.tagGroupKey,8,8,str
intervals.6.exercises.3.tagGroupName,8,8,str
intervals.6.exercises.4.id,2,2,str
intervals.6.exercises.4.key,2,2,str
intervals.6.exercises.4.name,2,2,str
intervals.6.exercises.4.tagGroupId,2,2,str
intervals.6.exercises.4.tagGroupKey,2,2,str
intervals.6.exercises.4.tagGroupName,2,2,str
intervals.6.id,101,101,str
intervals.6.mets,55,55,str
intervals.6.type,101,101,str
intervals.7.description,77,77,str
intervals.7.duration,77,77,int
intervals.7.exercises.0.id,55,55,str
intervals.7.exercises.0.key,55,55,str
intervals.7.exercises.0.name,55,55,str
intervals.7.exercises.0.tagGroupId,55,55,str
intervals.7.exercises.0.tagGroupKey,55,55,str
intervals.7.exercises.0.tagGroupName,55,55,str
intervals.7.exercises.1.id,9,9,str
intervals.7.exercises.1.key,9,9,str
intervals.7.exercises.1.name,9,9,str
intervals.7.exercises.1.tagGroupId,9,9,str
intervals.7.exercises.1.tagGroupKey,9,9,str
intervals.7.exercises.1.tagGroupName,9,9,str
intervals.7.exercises.2.id,4,4,str
intervals.7.exercises.2.key,4,4,str
intervals.7.exercises.2.name,4,4,str
intervals.7.exercises.2.tagGroupId,4,4,str
intervals.7.exercises.2.tagGroupKey,4,4,str
intervals.7.exercises.2.tagGroupName,4,4,str
intervals.7.exercises.3.id,1,1,str
intervals.7.exercises.3.key,1,1,str
intervals.7.exercises.3.name,1,1,str
intervals.7.exercises.3.tagGroupId,1,1,str
intervals.7.exercises.3.tagGroupKey,1,1,str
intervals.7.exercises.3.tagGroupName,1,1,str
intervals.7.id,77,77,str
intervals.7.mets,55,55,str
intervals.7.type,77,77,str
intervals.8.description,33,33,str
intervals.8.duration,33,33,int
intervals.8.exercises.0.id,25,25,str
intervals.8.exercises.0.key,25,25,str
intervals.8.exercises.0.name,25,25,str
intervals.8.exercises.0.tagGroupId,25,25,str
intervals.8.exercises.0.tagGroupKey,25,25,str
intervals.8.exercises.0.tagGroupName,25,25,str
intervals.8.exercises.1.id,11,11,str
intervals.8.exercises.1.key,11,11,str
intervals.8.exercises.1.name,11,11,str
